TIC,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments,nspectra,HARPS_name
261136679,144.01,,1,5,5,5,4,1,1,PC,CP,5.0970001,0.063,,2,spoc,05:37:11.76,-80:27:53.1,310.712,0.022000000000000002,1049.66,0.021,2458325.5050540003,0.001062,6.267726000000001,9.9e-05,2.934834,0.26556599999999997,0.31456100000000004,0.019027000000000002,289.67936000000003,289.67936000000003,1.7223099999999998,0.876033,253.45404700000003,1017.640909,13.214754000000001,18.233269,0.16842100000000002,5992.1001,9.163379699999998,4.4310699,0.0147435,1.38196,0.119255,"1,4",2018-09-05 18:34:18,2019-05-17 10:00:02,PI Men c,128,HD39091
279741379,186.01,,3,5,5,3,4,4,4,PC,CP,6.953410099999999,0.017,,2,spoc,03:27:00.02,-63:30:00.47,355.26300000000003,0.11199999999999999,-247.38099999999997,0.133,2458350.3,0.001598,,,2.497779,0.134082,1.009393,,929.253415,929.253415,2.556572,,67.832939,731.947459,11.704528999999999,,,4628.5298,91.9226,4.3223901,0.23680199999999998,0.73907697,0.078510702,"1,2,3",2018-10-19 23:49:46,2019-03-02 20:05:35,known TOI; single transit; no period; associated report shows a second TCE at 7.78 days,54,GJ143
55092869,664.01,,5,5,5,5,5,5,5,PC,CP,7.309,0.033,,1,spoc,10:46:49.75,-09:23:56.34,-78.0,8.0,-78.0,8.0,2458544.341451,0.000741,4.7360940000000005,0.000234,7.1084130000000005,0.045973,2.647894,0.030688999999999998,2435.829206,2435.829206,13.692776,0.177403,1416.644361,1564.713966,74.66564,112.73957,15.3794,5326.0,25.0,3.74,0.028000001,3.0667901,0.54184401,9,2019-05-06 19:17:04,2019-05-09 11:40:01,KELT 11b,342,HD93396
143350972,440.01,,1,5,5,1,4,4,4,PC,FP,7.652,0.018000000000000002,,1,qlp,05:28:59.04,-17:25:46.39,-84.417,0.038,-75.21,0.048,2458439.1351900003,0.0021899999999999997,1.0817,0.00014,1.588,0.222,0.37087800000000004,0.000538,341.533,341.533,2.07554,0.083749,1941.24,1849.0,26.0,48.505779,1.18899,5771.46,4.7852898,4.4479499,0.0128744,1.1083399999999999,0.10211100000000001,5,2019-01-31 16:53:30,2019-04-25 10:00:04,two stars in the same pixel;,44,HD36152
359271092,741.01,,3,4,3,3,4,4,4,PC,,7.6750002,0.032,,1,spoc,09:21:35.91,-60:16:52.3,-840.2810000000001,0.057,182.02,0.059000000000000004,2458544.0873970003,0.00372,7.576262,0.0018239999999999999,2.206541,0.45745,0.38664899999999996,0.044965,356.053444,356.053444,1.048509,0.668295,12.597044,480.492832,8.180382,15.319691,0.039564099,3766.0,95.0,4.76229,0.06134,0.52499998,0.016000001,9,2019-05-15 18:24:37,2019-06-06 10:00:02,Crowded field.,57,GJ341
410214986,200.01,,1,4,1,3,4,4,4,PC,CP,7.770999900000001,0.018000000000000002,,3,spoc,23:39:39.7,-69:11:45.72,79.527,0.059000000000000004,-67.679,0.055999999999999994,2458332.309957,,8.1375,,3.253514,0.111849,3.8895510000000004,,3576.0,3576.0,7.78,,54.769420999999994,693.8319389999999,20.744928,44.025321999999996,0.78833598,5414.0,161.0,,,1.1934799999999999,0.133655,1,2018-11-09 21:01:14,2019-06-06 12:00:12,The transit was detected with a bunch of false signals due to detrending; But the two transits near epoch 1332.3098 and 1340.4473 looks reasonable;,5,HD222259
167415965,214.01,,1,5,5,1,4,4,4,PC,,7.9650002,0.018000000000000002,,1,spoc,06:37:50.11,-70:55:52.93,-149.68,0.092,298.658,0.087,2458336.6846849998,0.0018579999999999998,18.552747,0.000425,3.8347300000000004,0.191186,0.48173299999999997,0.023684999999999998,443.593827,443.593827,1.9829740000000002,0.366871,32.905896999999996,610.855071,19.1056,38.692802,0.56428897,5346.1699,12.9304,4.5007700999999996,0.033282001,0.90006399,0.078156203,"1,2,3,4,5,6",2018-10-22 18:35:08,2019-05-17 16:00:02,CPC,12,HD48611
34068865,731.01,,3,4,3,3,4,4,4,PC,,8.010999700000001,0.016,,1,spoc,09:44:29.17,-45:46:44.17,-462.589,0.163,-583.299,0.166,2458543.492309,0.0007030000000000001,0.321941,1.9e-05,0.630316,0.11620799999999999,0.26300999999999997,0.021272,242.211365,242.211365,0.746412,0.566584,532.993788,1225.463234,12.487692,13.814926000000002,0.052374199,3518.0,84.0,4.8111501,0.07925239999999999,0.47400001,0.017999999,9,2019-05-15 18:24:32,2019-06-06 10:00:02,GAIA R*=2.5 Rsun. 25 DR2 sources within 30,24,GJ367
31374837,431.01,,1,4,1,4,4,2,4,PC,,8.113400500000001,0.019,,1,qlp,05:33:04.62,-26:43:26.01,16.929000000000002,0.065,150.792,0.08800000000000001,2458440.63138,0.0009599999999999999,12.45941,0.0008,3.353,0.465,2.227239,0.001208,2049.26,2049.26,3.8678199999999996,0.19298900000000002,50.1873,741.0,58.0,,,4891.0,113.0,4.4099998,0.22,0.80249298,0.090300903,"5,6",2019-01-31 16:53:30,2019-04-25 10:00:04,,51,HIP26013
207141131,179.01,,1,5,5,1,4,4,4,PC,,8.1409998,0.017,,1,spoc,02:57:02.89,-56:11:30.75,-36.273,0.07,50.611999999999995,0.062,2458354.588395,0.0006490000000000001,4.1373940000000005,9.6e-05,1.8299189999999999,0.136448,1.232507,0.046539,1134.536706,1134.536706,2.813921,0.8975690000000001,181.276421,935.8474880000001,21.0557,38.531132,0.56784302,5058.0,181.0,4.5176101,0.282094,0.83894902,0.107368,"2,3",2018-10-11 19:07:06,2019-03-11 18:32:33,known TOI,22,HD18599
